EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,SatisfactionLevel
162,51,No,Travel_Rarely,Unknown,6,3,Unknown,1,Male,3,5, Research Director ,3,Unknown,19537,6462,7,No,13,3,3,0,Unknown,5,3,20,15,15,1972,Yes,A
259,52,No,Travel_Rarely,Unknown,1,4,Life Sciences,3,Male,2,5, Manager ,3,Unknown,19999,5678,0,No,14,3,1,1,34,5,3,33,11,9,1971,Yes,A
319,42,No,Travel_Rarely, Research & Development ,4,2,Technical Degree,3,Male,3,5, Manager ,4,Married,19232,4933,1,No,11,3,4,0,22,3,3,22,11,15,1981,Yes,A
1900,48,No,Travel_Rarely, Research & Development ,22,3,Medical,4,Female,3,4, Manager ,4,Unknown,17174,2437,3,No,11,3,2,1,Unknown,3,3,22,4,7,1975,Yes,A
81,59,No,Travel_Rarely,Unknown,25,3,Life Sciences,1,Female,3,3, Sales Executive ,1,Unknown,6477,2354,7,No,11,3,4,0,28,3,2,21,7,9,1964,Yes,B
387,42,No,Travel_Rarely,Unknown,1,1,Unknown,2,Male,3,2, Sales Executive ,3,Married,6477,24532,1,No,25,4,3,0,20,3,3,20,11,6,1981,No,A
999,41,No,Travel_Frequently,Unknown,9,3,Unknown,1,Male,3,5, Research Director ,3,Unknown,6477,3735,2,No,17,3,2,1,21,2,4,18,0,11,1982,No,A
1035,41,No,Non-Travel,Unknown,7,1,Unknown,2,Female,1,5, Research Director ,3,Unknown,19973,20284,1,No,22,4,2,2,Unknown,3,3,21,5,10,1982,No,A
58,41,Yes,Travel_Rarely,Unknown,12,3,Unknown,2,Female,3,5, Research Director ,3,Married,19545,16280,1,No,12,3,4,0,Unknown,0,3,22,15,8,1982,No,A
558,40,No,Travel_Rarely,Unknown,2,4,Unknown,3,Female,3,5, Manager ,3,Unknown,18041,13022,0,No,14,3,4,0,Unknown,2,3,20,1,12,1983,No,A
825,58,Yes,Travel_Rarely,Unknown,2,4,Unknown,4,Male,3,5, Research Director ,2,Single,19246,25761,7,Yes,12,3,4,0,40,2,3,31,13,8,1965,No,B
1712,45,No,Non-Travel, Research & Development ,1,1,Unknown,3,Male,2,3, Healthcare Representative ,3,Unknown,10748,3395,3,No,23,4,4,1,25,3,2,23,14,4,1978,No,A
73,33,No,Travel_Rarely,Unknown,1,2,Life Sciences,1,Female,3,3, Research Director ,4,Single,6477,15146,1,Yes,12,3,3,0,15,1,3,15,8,12,1990,Yes,A
820,47,No,Travel_Rarely,Unknown,2,2,Other,3,Female,3,4, Manager ,4,Married,16752,12982,1,No,11,3,3,1,Unknown,3,2,26,3,0,1976,No,A
1294,36,No,Travel_Rarely,Unknown,2,4,Life Sciences,3,Female,3,2, Manufacturing Director ,2,Single,6477,2323,9,Yes,11,3,4,0,18,2,3,16,5,12,1987,No,B
1774,34,No,Non-Travel, Sales ,10,3,Life Sciences,4,Male,3,2, Sales Executive ,3,Unknown,4001,12313,1,Yes,14,3,3,1,15,3,3,15,0,7,1989,Yes,A
1815,41,No,Travel_Rarely, Sales ,37,1,Unknown,3,Female,3,3, Sales Executive ,3,Divorced,10447,26458,0,No,13,3,4,1,Unknown,3,4,22,13,5,1982,Yes,A
1993,47,No,Travel_Rarely, Research & Development ,25,3,Medical,1,Male,3,3, Healthcare Representative ,3,Unknown,6477,13084,2,No,23,4,2,0,25,3,3,17,12,11,1976,Yes,A
32,53,No,Travel_Rarely,Unknown,5,3,Unknown,3,Female,3,5, Manager ,3,Unknown,6477,10735,4,No,11,3,4,1,26,3,2,14,4,8,1970,Yes,A
100,35,No,Travel_Rarely,Unknown,1,4,Marketing,3,Male,2,2, Sales Executive ,1,Single,6477,23016,0,No,14,3,2,0,16,2,3,15,2,8,1988,No,B
244,46,No,Travel_Rarely,Unknown,1,2,Unknown,2,Female,3,3, Sales Executive ,1,Divorced,6477,2137,1,No,25,4,3,3,24,2,3,24,15,7,1977,Yes,B
327,43,No,Travel_Rarely,Unknown,16,3,Unknown,4,Female,3,4, Manager ,4,Married,16064,7744,5,No,22,4,3,1,22,3,3,17,1,9,1980,Yes,A
373,36,No,Travel_Rarely, Research & Development ,6,3,Life Sciences,4,Male,3,1, Laboratory Technician ,4,Married,3210,20251,0,No,11,3,3,1,16,4,3,15,10,11,1987,Yes,A
729,40,No,Travel_Frequently,Unknown,5,4,Unknown,4,Male,2,3, Sales Executive ,1,Married,10475,23772,5,Yes,21,4,3,1,20,2,3,18,1,12,1983,No,B
830,32,No,Travel_Rarely,Unknown,4,3,Unknown,3,Female,2,2, Manufacturing Director ,3,Married,6162,19124,1,No,12,3,3,1,14,3,3,14,6,8,1991,No,A
981,53,No,Travel_Rarely,Unknown,2,2,Medical,3,Male,3,4, Manager ,3,Divorced,6477,13938,6,No,13,3,3,1,22,3,4,17,15,2,1970,No,A
1042,36,Yes,Travel_Rarely,Unknown,16,4,Unknown,3,Female,4,1, Laboratory Technician ,1,Single,6477,8269,1,No,16,3,3,0,18,1,3,17,15,14,1987,Yes,B
1080,46,No,Travel_Rarely,Unknown,8,4,Life Sciences,4,Female,2,2, Research Scientist ,1,Divorced,4615,21029,8,Yes,23,4,1,3,Unknown,2,3,16,1,7,1977,No,B
1995,38,No,Travel_Rarely,Unknown,1,4,Unknown,4,Male,3,2, Sales Executive ,2,Married,6477,7636,0,No,15,3,1,2,16,3,3,15,5,8,1985,Yes,B
145,51,No,Travel_Rarely,Unknown,1,4,Unknown,1,Female,2,3, Healthcare Representative ,1,Single,6477,25796,3,No,20,4,3,0,23,1,2,13,12,8,1972,Yes,B
158,43,No,Travel_Rarely,Unknown,26,2,Unknown,3,Male,3,4, Manager ,4,Married,16959,19494,1,Yes,12,3,4,2,25,3,4,25,4,12,1980,Yes,A
391,37,No,Travel_Rarely,Unknown,1,3,Life Sciences,4,Female,3,1, Research Scientist ,4,Single,6477,15881,1,No,12,3,2,0,Unknown,3,3,17,5,7,1986,Yes,A
